listing_id,date
6.92808E+17,11-03-2023
21752534,11-03-2023
6.28163E+17,12-03-2023
38321579,12-03-2023
28722270,12-03-2023
50207226,12-03-2023
44180048,12-03-2023
6.31035E+17,12-03-2023
51710034,12-03-2023
6.89719E+17,12-03-2023
45529447,12-03-2023
28868857,12-03-2023
54150131,12-03-2023
5651579,12-03-2023
6.34108E+17,12-03-2023
51579900,12-03-2023
47334913,12-03-2023
53312101,12-03-2023
7.0566E+17,12-03-2023
7.51421E+17,12-03-2023
47440071,12-03-2023
50211226,12-03-2023
48599533,12-03-2023
52611613,12-03-2023
7.86197E+17,12-03-2023
35914565,12-03-2023
9501054,12-03-2023
52836323,12-03-2023
46894493,12-03-2023
24120690,12-03-2023
52691284,12-03-2023
5.93272E+17,12-03-2023
53483727,12-03-2023
8.31123E+17,12-03-2023
45313545,12-03-2023
50890336,12-03-2023
53567589,12-03-2023
45528939,12-03-2023
32993402,12-03-2023
33558235,12-03-2023
48124042,12-03-2023
47408047,13-03-2023
9005989,13-03-2023
7.61142E+17,13-03-2023
28400263,13-03-2023
27670660,13-03-2023
53567589,13-03-2023
42092736,13-03-2023
7.88301E+17,13-03-2023
7.23957E+17,13-03-2023
48124042,14-03-2023
44265426,14-03-2023
6.68608E+17,15-03-2023
9501054,15-03-2023
28868857,15-03-2023
6.34108E+17,15-03-2023
50890336,15-03-2023
52619545,15-03-2023
47334913,15-03-2023
50211226,15-03-2023
50211226,16-03-2023
34330970,16-03-2023
52152157,16-03-2023
44180048,16-03-2023
50354540,16-03-2023
5651579,16-03-2023
7.17373E+17,16-03-2023
6.89719E+17,16-03-2023
25549565,16-03-2023
7.23957E+17,17-03-2023
6.54303E+17,17-03-2023
47440071,17-03-2023
51579900,17-03-2023
52863776,17-03-2023
21752534,17-03-2023
53860077,17-03-2023
6.68608E+17,17-03-2023
38321579,17-03-2023
12799126,17-03-2023
6.67645E+17,17-03-2023
32279028,17-03-2023
44180048,17-03-2023
6.68608E+17,17-03-2023
52619545,18-03-2023
9005989,18-03-2023
6.68608E+17,18-03-2023
7.52119E+17,18-03-2023
27670660,18-03-2023
7.37574E+17,18-03-2023
35793179,18-03-2023
43208391,18-03-2023
6.68608E+17,18-03-2023
43955950,18-03-2023
38321579,18-03-2023
44180048,18-03-2023
7.61142E+17,18-03-2023
7.23957E+17,18-03-2023
45528939,18-03-2023
24120690,18-03-2023
7.17373E+17,19-03-2023
50207226,19-03-2023
8.26302E+17,19-03-2023
8.31123E+17,19-03-2023
53312101,19-03-2023
51579900,19-03-2023
7.57978E+17,19-03-2023
16531782,19-03-2023
6.17242E+17,19-03-2023
7.51421E+17,19-03-2023
51592836,19-03-2023
6.28163E+17,19-03-2023
45074220,19-03-2023
47345872,19-03-2023
53645427,19-03-2023
50890336,19-03-2023
6.54303E+17,19-03-2023
46894493,19-03-2023
7.61142E+17,19-03-2023
